sample_acc	run_acc	env_feat
ERS492778	ERR598956|ERR598998|ERR599117|ERR599157	(MIX) marine epipelagic mixed layer (ENVO:01000061)
ERS492782	ERR594337	(MIX) marine epipelagic mixed layer (ENVO:01000061)
ERS492783	ERR594319	(MIX) marine epipelagic mixed layer (ENVO:01000061)
ERS492733	ERR599160	(SRF) surface water layer (ENVO:00002042)
ERS492738	ERR594326	(SRF) surface water layer (ENVO:00002042)
ERS492739	ERR594347	(SRF) surface water layer (ENVO:00002042)
ERS492866	ERR594285	(MIX) marine epipelagic mixed layer (ENVO:01000061)
ERS492863	ERR598988|ERR599084|ERR599089|ERR599161	(MIX) marine epipelagic mixed layer (ENVO:01000061)
ERS492867	ERR594343	(MIX) marine epipelagic mixed layer (ENVO:01000061)
ERS492868	ERR594338	(MIX) marine epipelagic mixed layer (ENVO:01000061)
ERS492818	ERR594287	(SRF) surface water layer (ENVO:00002042)
ERS492821|ERS492814	ERR588857|ERR599036|ERR599069|ERR599080|ERR599151	(SRF) surface water layer (ENVO:00002042)
ERS492819	ERR594311	(SRF) surface water layer (ENVO:00002042)
ERS492820	ERR594296	(SRF) surface water layer (ENVO:00002042)
ERS492930	ERR594341	(MIX) marine epipelagic mixed layer (ENVO:01000061)
ERS492926	ERR599156	(MIX) marine epipelagic mixed layer (ENVO:01000061)
ERS492931	ERR594342	(MIX) marine epipelagic mixed layer (ENVO:01000061)
ERS492932	ERR594300	(MIX) marine epipelagic mixed layer (ENVO:01000061)
ERS492892	ERR594344	(SRF) surface water layer (ENVO:00002042)
ERS492888	ERR599066|ERR599091|ERR599114|ERR599119	(SRF) surface water layer (ENVO:00002042)
ERS492893	ERR594339	(SRF) surface water layer (ENVO:00002042)
ERS492894	ERR594323	(SRF) surface water layer (ENVO:00002042)
ERS493098	ERR599032	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS493044	ERR599038	(SRF) surface water layer (ENVO:00002042)
ERS493340	ERR598995	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS493372	ERR598980	(MES) mesopelagic zone (ENVO:00000213)
ERS493300	ERR599142	(SRF) surface water layer (ENVO:00002042)
ERS493431	ERR598942	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS493460	ERR599115	(MES) mesopelagic zone (ENVO:00000213)
ERS493390	ERR599052	(SRF) surface water layer (ENVO:00002042)
ERS493670	ERR598987|ERR599070|ERR599099|ERR599147	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS493705	ERR599015|ERR599076|ERR599127|ERR599152	(MES) mesopelagic zone (ENVO:00000213)
ERS493636	ERR598989	(SRF) surface water layer (ENVO:00002042)
ERS493788	ERR599087	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS493822	ERR599004|ERR599051|ERR599060|ERR599175	(MES) mesopelagic zone (ENVO:00000213)
ERS493752	ERR599030	(SRF) surface water layer (ENVO:00002042)
ERS493877	ERR599162	(SRF) surface water layer (ENVO:00002042)
ERS493914	ERR599029	(SRF) surface water layer (ENVO:00002042)
ERS493981	ERR599100	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS494006	ERR598985	(MES) mesopelagic zone (ENVO:00000213)
ERS493938	ERR599136	(SRF) surface water layer (ENVO:00002042)
ERS494208	ERR599166	(MES) mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)
ERS494170	ERR598983	(SRF) surface water layer (ENVO:00002042)
ERS494274	ERR599047	(MES) mesopelagic zone (ENVO:00000213)
ERS494236	ERR598968	(SRF) surface water layer (ENVO:00002042)
ERS494332	ERR599123	(SRF) surface water layer (ENVO:00002042)
ERS494374	ERR598958	(MES) mesopelagic zone (ENVO:00000213)
ERS494431	ERR598964	(MES) mesopelagic zone (ENVO:00000213)
ERS494394	ERR598963	(SRF) surface water layer (ENVO:00002042)
ERS494488	ERR598996	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS494445	ERR599170	(SRF) surface water layer (ENVO:00002042)
ERS494559	ERR598986	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS494518	ERR598976	(SRF) surface water layer (ENVO:00002042)
ERS494616	ERR598944	(MES) mesopelagic zone (ENVO:00000213)
ERS494628	ERR599001	(MIX) marine epipelagic mixed layer (ENVO:01000061)
ERS494579	ERR599078	(SRF) surface water layer (ENVO:00002042)
